NomeCompleto;Cidade;idPessoa;idCidade
Joao Pedro;Sao Paulo; 1,0; 1,0
Joao Pedro;Sao Cristovao; 1,0; 1,0
Joao Pedro;Aracaju; 1,0; 1,0
Joao Pedro;Rio de Janeiro; 1,0; 1,0
Joao Pedro;Salvador; 1,0; 1,0
Joao Pedro;Sao Paulo; 1,0; 1,0
Joao Pedro;Sao Cristovao; 1,0; 1,0
Joao Pedro;Aracaju; 1,0; 1,0
Joao Pedro;Rio de Janeiro; 1,0; 1,0
Joao Pedro;Salvador; 1,0; 1,0
Joao Pedro;Sao Paulo; 1,0; 1,0
Joao Pedro;Sao Cristovao; 1,0; 1,0
Joao Pedro;Aracaju; 1,0; 1,0
Joao Pedro;Rio de Janeiro; 1,0; 1,0
Joao Pedro;Salvador; 1,0; 1,0
Joao Pedro;Sao Paulo; 1,0; 1,0
Joao Pedro;Sao Cristovao; 1,0; 1,0
Lucas Gabriel;Aracaju; 2,0; 2,0
Lucas Gabriel;Rio de Janeiro; 2,0; 2,0
Lucas Gabriel;Salvador; 2,0; 2,0
Lucas Gabriel;Sao Paulo; 2,0; 2,0
Lucas Gabriel;Sao Cristovao; 2,0; 2,0
Lucas Gabriel;Aracaju; 2,0; 2,0
Lucas Gabriel;Rio de Janeiro; 2,0; 2,0
Lucas Gabriel;Salvador; 2,0; 2,0
Lucas Gabriel;Sao Paulo; 2,0; 2,0
Lucas Gabriel;Sao Cristovao; 2,0; 2,0
Lucas Gabriel;Aracaju; 2,0; 2,0
Lucas Gabriel;Rio de Janeiro; 2,0; 2,0
Lucas Gabriel;Salvador; 2,0; 2,0
Lucas Gabriel;Sao Paulo; 2,0; 2,0
Lucas Gabriel;Sao Cristovao; 2,0; 2,0
Lucas Gabriel;Aracaju; 2,0; 2,0
Lucas Gabriel;Rio de Janeiro; 2,0; 2,0
Lucas Gabriel;Salvador; 2,0; 2,0
Maria Claudia;Sao Paulo; 3,0; 4,0
Maria Claudia;Sao Cristovao; 3,0; 4,0
Maria Claudia;Aracaju; 3,0; 4,0
Maria Claudia;Rio de Janeiro; 3,0; 4,0
Maria Claudia;Salvador; 3,0; 4,0
Maria Claudia;Sao Paulo; 3,0; 4,0
Maria Claudia;Sao Cristovao; 3,0; 4,0
Maria Claudia;Aracaju; 3,0; 4,0
Maria Claudia;Rio de Janeiro; 3,0; 4,0
Maria Claudia;Salvador; 3,0; 4,0
Maria Claudia;Sao Paulo; 3,0; 4,0
Maria Claudia;Sao Cristovao; 3,0; 4,0
Maria Claudia;Aracaju; 3,0; 4,0
Maria Claudia;Rio de Janeiro; 3,0; 4,0
Maria Claudia;Salvador; 3,0; 4,0
Maria Claudia;Sao Paulo; 3,0; 4,0
Maria Claudia;Sao Cristovao; 3,0; 4,0
Luna Santos;Aracaju; 4,0; 5,0
Luna Santos;Rio de Janeiro; 4,0; 5,0
